Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
2,1,240335,126.907970125034,126.907970125034,0.282877192883777,240335,126.865333804897,126.865333804897,0.372662972878672
2,2,227187,123.035913146439,123.035913146439,0.144639243877856,227187,122.996447860133,122.996447860133,0.228012496720915
2,3,294349,120.554240034789,120.554240034789,0.0781280756877023,294349,120.540966675613,120.540966675613,0.134906149368818
2,4,142033,122.13418008491,122.13418008491,0.113144443792325,142033,122.167580773482,122.167580773482,0.188531609492575
2,5,121805,132.226862608267,132.226862608267,0.307048333765399,121805,132.316678297278,132.316678297278,0.375569915168984
2,6,105458,123.196523734567,123.196523734567,0.11910562444428,105458,123.1758614804,123.1758614804,0.207910511277377
2,7,125505,129.105262738536,129.105262738536,0.284838329791668,125505,129.055169116768,129.055169116768,0.398063224126571
2,8,94225,121.831477845582,121.831477845582,0.106963758161237,94225,121.825725656673,121.825725656673,0.174397480396607
2,9,119710,119.46076351182,119.46076351182,0.0965934611396921,119710,119.479124550998,119.479124550998,0.135348070673481
2,10,165423,122.242650659219,122.242650659219,0.169980277508011,165423,122.233395597952,122.233395597952,0.237847294584136
2,11,106594,119.020404525583,119.020404525583,0.0970081580454956,106594,118.999812372179,118.999812372179,0.150672626079885
4,1,116714,122.995553232688,122.995553232688,0.0843692622153232,116714,123.014411295988,123.014411295988,0.116408069141331
4,2,233841,126.44178736834,126.44178736834,0.232231857066775,233841,126.389897408923,126.389897408923,0.306502111812706
4,3,108304,120.815186881371,120.815186881371,0.0970984177646415,108304,120.828196557837,120.828196557837,0.131689494636431
4,4,129507,130.621032067765,130.621032067765,0.320791814551381,129507,130.409429606122,130.409429606122,0.363635361903572
4,5,213278,122.526603775354,122.526603775354,0.119065624779439,213278,122.516579300256,122.516579300256,0.169164705096984
4,6,175191,121.978931566119,121.978931566119,0.0978940922840047,175191,121.985067726082,121.985067726082,0.12423890273832
4,7,153445,119.522161034899,119.522161034899,0.0804139984537812,153445,119.501606438789,119.501606438789,0.0937895318011663
4,8,144570,121.674047174379,121.674047174379,0.0525198573359921,144570,121.65583454382,121.65583454382,0.0692738319508642
4,9,122446,129.341587311958,129.341587311958,0.344456934110182,122446,129.27514986198,131.710593268843,0.413521642508214
4,10,51284,119.335796739724,119.335796739724,0.0569972693790709,51284,119.334529287887,119.334529287887,0.0530567857301579
4,11,56001,119.303441009982,119.303441009982,0.060589169027149,56001,119.286798450028,119.286798450028,0.081752820203886
4,12,36813,118.943769863907,118.943769863907,0.0964267547650188,36813,118.929454268872,118.929454268872,0.13120353959415
4,14,38326,119.377080832855,119.377080832855,0.0984767371387578,38326,119.363434744038,119.363434744038,0.125288251035555
6,1,147276,128.210916917896,128.210916917896,0.287922512643342,147276,128.115130774872,128.115130774872,0.359017450539055
6,2,232434,122.322293640345,122.322293640345,0.107158018280026,232434,122.321325623618,122.321325623618,0.162979606664841
6,3,120946,120.35768028707,120.35768028707,0.0624305287983715,120946,120.346716716551,120.346716716551,0.0811275907625469
6,4,167135,121.86167469411,121.86167469411,0.0988126401573714,167135,121.832554521794,121.832554521794,0.149206578488952
6,5,180740,121.439188890118,121.439188890118,0.0901245882929105,180740,121.462913577515,121.462913577515,0.135450063569857
6,6,90366,120.634475355775,120.634475355775,0.100386428738029,90366,120.621738264391,120.621738264391,0.140269358696008
6,7,95749,120.068867559975,120.068867559975,0.0650631795930366,95749,120.072251407325,120.072251407325,0.0957507381445556
6,8,90006,120.03203119792,120.03203119792,0.0592789491356588,90006,120.018021020821,120.018021020821,0.0795516190435126
6,9,101389,126.05672212962,126.05672212962,0.259184861715207,101389,126.047608714949,126.047608714949,0.333767962368025
6,10,113701,119.970589528676,119.970589528676,0.0628108811939866,113701,119.964969525334,119.964969525334,0.0876778943518486
6,11,108030,121.407507173933,121.407507173933,0.0761955935536731,108030,121.391493103767,121.391493103767,0.10273333761629
6,12,125063,120.354261452228,120.354261452228,0.130994027335449,125063,120.324108649241,120.324108649241,0.160043066461378
6,13,103478,120.082017433657,120.082017433657,0.0675093624381036,103478,120.072856066024,120.072856066024,0.102084612566406
6,14,101191,119.95168542657,119.95168542657,0.0869538496981924,101191,120.002015989564,120.002015989564,0.144726917968265
8,1,232244,122.183910025663,122.183910025663,0.125190394334768,232244,122.165898796094,122.165898796094,0.170464064329303
8,2,162845,121.144266019835,121.144266019835,0.112725724143135,162845,121.143437010654,121.143437010654,0.149446638434201
8,3,155265,128.204205712814,128.204205712814,0.299815077891752,155265,128.135052973948,128.135052973948,0.382798271103124
8,4,127492,121.756039594641,121.756039594641,0.128223218049787,127492,121.746509584915,121.746509584915,0.171423148915994
8,5,94199,121.172953003747,121.172953003747,0.103780725975111,94199,121.173091009459,121.173091009459,0.153154865094894
8,6,132658,127.770816686517,127.770816686517,0.28097551470683,132658,127.778467940117,127.778467940117,0.3464712248511
8,7,116878,120.552208285563,120.552208285563,0.116230265696841,116878,120.549821181061,120.549821181061,0.147410128597493
8,8,120014,120.898761811122,120.898761811122,0.0927283015984332,120014,120.91909277251,120.91909277251,0.129267501044025
8,9,116964,120.053230053692,120.053230053692,0.0866122117912423,116964,120.033258096508,120.033258096508,0.106471043960699
8,10,173236,121.042017825394,121.042017825394,0.107500695417548,173236,121.013547992334,121.013547992334,0.124425184443008
8,11,131979,120.804984126263,120.804984126263,0.098445097799005,131979,120.760454314702,120.760454314702,0.12624234196713
8,12,103781,120.719842745782,120.719842745782,0.0941518263654052,103781,120.732918356925,120.732918356925,0.128990106514913
8,13,116276,120.284332106368,120.284332106368,0.0642731897095909,116276,120.289199834876,120.289199834876,0.0912866729171935
8,15,37430,120.518674859738,120.518674859738,0.0792606490571743,37430,120.542746460059,120.542746460059,0.111953962258669
8,16,39199,120.342763846016,120.342763846016,0.0608184374145614,39199,120.358325467486,120.358325467486,0.089608781387726
10,1,249888,121.856515719042,121.856515719042,0.131017778444972,249888,121.831528524779,121.831528524779,0.178725847923385
10,2,174525,120.862134364704,120.862134364704,0.0965316090746052,174525,120.87444778685,120.87444778685,0.135757716115065
10,3,138168,128.173665392855,128.173665392855,0.286352596705371,138168,128.166565340745,128.166565340745,0.338403621161364
10,4,133655,120.868953649321,120.868953649321,0.0663337803990099,133655,120.842243088549,120.842243088549,0.102274944843635
10,5,118943,121.449946613084,121.449946613084,0.11045798090473,118943,121.444128700302,121.444128700302,0.137273293268211
10,6,118702,120.748993277283,120.748993277283,0.0930432744636652,118702,120.734882310323,120.734882310323,0.13718255067715
10,7,124579,121.044493855305,121.044493855305,0.0935192111351095,124579,121.059825492258,121.059825492258,0.13683972880135
10,8,140161,126.663929338404,126.663929338404,0.24611869312449,140161,126.670643046211,126.670643046211,0.330874913056603
10,9,113546,124.49997357899,124.49997357899,0.19425950026618,113546,124.437734486464,124.437734486464,0.268256201617781
10,10,120094,120.548103985212,120.548103985212,0.103014921633934,120094,120.536080070611,120.536080070611,0.131827115357707
10,11,165489,120.789653692995,120.789653692995,0.093897094489164,165489,120.77546543879,120.77546543879,0.133395315461746
10,12,106070,121.122560573206,121.122560573206,0.0822938480127151,106070,121.103459979259,121.103459979259,0.115878313742691
10,13,126654,120.022707533911,120.022707533911,0.122948839258474,126654,120.002266016075,120.002266016075,0.138522374179502
10,14,130584,120.341190344912,120.341190344912,0.101018815935589,130584,120.343418795565,120.343418795565,0.118525790125537
10,15,96594,123.282481313539,123.282481313539,0.132451135437923,96594,123.197124044972,123.197124044972,0.199600389141798
12,1,172035,120.418054465661,120.418054465661,0.0714819255371362,172035,120.41025954021,120.41025954021,0.0952153636298312
12,2,147282,123.292343938838,123.292343938838,0.14253449047035,147282,123.240199073885,123.240199073885,0.232249984359911
12,3,145543,120.004397325876,120.004397325876,0.0577761930625901,145543,119.985818624049,119.985818624049,0.0815890213059545
12,4,141592,120.389972597322,120.389972597322,0.0874994335163414,141592,120.378983275891,120.378983275891,0.121148204355621
12,5,127329,121.029977459966,121.029977459966,0.155391239692387,127329,121.024754769141,121.024754769141,0.187752380863203
12,6,132670,119.891980101002,119.891980101002,0.0676864268235951,132670,119.879882415015,119.879882415015,0.0934480181956632
12,7,120671,124.177979796306,124.177979796306,0.157552257309045,120671,124.143936819948,124.143936819948,0.21062214773569
