Frame,ID,Volume_nowarp,MeanIntensity_nowarp,Volume_warp,MeanIntensity_warp
1,1,23243,128.8734673,23243,136.6059459
1,2,26952,134.712526,26952,145.4287251
1,3,24212,127.8971584,24212,132.5056584
1,4,27451,133.8644494,27451,140.7640523
1,5,22716,122.7341962,22716,122.0569643
1,6,8056,129.6672046,8056,140.1392751
1,7,11890,131.1995795,11890,142.7792262
1,8,11730,128.7583973,11730,139.2878943
1,9,9278,127.9874973,9278,152.6558526
1,10,12695,134.3085467,12695,149.1042143
1,11,14654,135.3511669,14654,153.4219326
2,1,24886,135.9461946,24886,153.2002732
2,2,23532,122.4022608,23532,121.835968
2,3,30642,132.3461915,30642,135.3829058
2,4,14762,125.2379081,14762,123.4244682
2,5,12668,124.9568203,12668,122.1135144
2,6,10923,132.1439165,10923,156.1388813
2,7,13073,121.4239272,13073,119.8717968
2,8,9834,130.6942241,9834,148.0544031
2,9,12454,128.3044002,12454,126.1785772
2,10,17172,121.0062893,17172,120.7727696
2,11,11073,123.882507,11073,122.1342906
3,1,22804,139.4946939,22804,160.6695755
3,2,23554,122.4282924,23554,122.3309417
3,3,14438,124.7039064,14438,123.0660756
3,4,12458,124.6450474,12458,121.6301172
3,5,11175,124.6477852,11175,123.125906
3,6,14831,128.7641427,14831,126.1857596
3,7,11652,121.4422417,11652,119.7973738
3,8,17010,120.923398,17010,120.6265138
3,9,11057,126.7449579,11057,123.9800127
3,10,11571,124.6372829,11571,122.6748768
3,11,10213,122.2924704,10213,121.4029178
4,1,12155,123.5328671,12155,122.9129576
4,2,24206,147.4041147,24206,180.0952656
4,3,11298,121.688706,11298,120.4727385
4,4,13446,124.4719619,13446,121.6796073
4,5,22193,123.9053305,22193,124.8898301
4,6,18254,120.6862605,18254,120.6696067
4,7,15932,127.1480668,15932,124.2953804
4,8,15038,124.8605533,15038,122.6824711
4,9,12786,122.4714532,12786,119.6178633
4,10,5304,128.1591252,5304,129.3161765
4,11,5800,126.3024138,5800,125.4815517
4,12,3870,123.8640827,3870,123.9105943
4,14,3976,125.9132294,3976,124.5714286
5,1,12115,124.1739992,12115,122.925877
5,2,24314,124.3889117,24314,125.9492473
5,3,13357,123.5281875,13357,121.2282698
5,4,24306,148.2264461,24306,178.9358183
5,5,18253,120.2932669,18253,120.5427053
5,6,15079,122.1776643,15079,119.67279
5,7,15268,124.1313204,15268,122.3138591
5,8,6150,128.7341463,6150,127.682439
5,9,5492,121.5568099,5492,128.9406409
5,10,10053,121.9884612,10053,121.3379091
5,11,4954,125.2771498,4954,125.2266855
5,12,5580,125.5741935,5580,125.8869176
5,14,5981,126.4848688,5981,125.5203143
5,15,5076,124.7691095,5076,124.5041371
6,1,15240,123.6316929,15240,120.6429134
6,2,24187,125.3414644,24187,128.5870509
6,3,12552,132.7891969,12552,133.4795252
6,4,17438,123.5569446,17438,122.2461865
6,5,18817,119.7141415,18817,120.1465696
6,6,9370,130.6059765,9370,172.5694771
6,7,9995,127.9364682,9995,137.4344172
6,8,9323,127.538346,9323,132.7708892
6,9,10536,120.2312073,10536,119.2442103
6,10,11844,131.9867443,11844,150.575819
6,11,11272,125.308286,11272,121.9025905
6,12,13017,121.9787201,13017,119.7160636
6,13,10846,126.4515029,10846,134.0407524
6,14,10496,129.173971,10496,142.2329459
7,1,25139,125.4037551,25139,128.9299495
7,2,10636,132.4377586,10636,179.0683528
7,3,13371,121.9167602,13371,120.0531748
7,4,15887,120.2003525,15887,119.2002895
7,5,11162,131.8148181,11162,154.5007167
7,6,17176,123.5586865,17176,121.7635072
7,7,11621,125.8762585,11621,122.1335513
7,8,18205,119.5547926,18205,119.8271903
7,9,11575,130.9617279,11575,150.3370194
7,10,9785,128.3273378,9785,137.3019928
7,11,11858,128.2285377,11858,140.7485242
7,12,11188,122.8762066,11188,120.4537004
7,13,11371,127.0241843,11371,134.9919972
7,14,10185,132.486107,10185,134.3423662
8,1,24159,126.923424,24159,132.4855747
8,2,16960,122.9360849,16960,121.3877948
8,3,16177,120.1521914,16177,119.0118687
8,4,13278,125.0406688,13278,121.4954812
8,5,9828,123.2827635,9828,121.7663818
8,6,13835,123.4612938,13835,120.4003614
8,7,12089,122.4255935,12089,121.7582927
8,8,12517,119.7864504,12517,120.7410721
8,9,12183,122.3524583,12183,120.9220225
8,10,18054,119.4794505,18054,119.7442672
8,11,13598,121.3717458,13598,121.3369613
8,12,10816,122.2182877,10816,120.0417899
8,13,12016,123.3903961,12016,120.4065413
8,15,3897,118.643572,3897,146.3915833
8,16,4058,132.355101,4058,136.1175456
9,1,25641,127.3639094,25641,133.2083772
9,2,10057,123.4072785,10057,121.542806
9,3,16399,122.589975,16399,121.3107507
9,4,13932,124.9507608,13932,121.4244186
9,5,12259,122.0930745,12259,119.9912717
9,6,13704,123.1201109,13704,120.387697
9,7,14909,120.2259038,14909,118.9845731
9,8,12394,122.5300145,12394,120.354365
9,9,12900,119.9157364,12900,120.6999225
9,10,11749,122.5055749,11749,121.5719636
9,11,17842,119.4942832,17842,119.7062549
9,12,12588,122.1331427,12588,120.8154592
9,13,11595,121.2702889,11595,121.066063
9,14,6495,133.4917629,6495,148.569515
9,15,6044,126.6217737,6044,167.326274
10,1,26015,127.7300019,26015,133.8765328
10,2,18170,123.1336269,18170,121.4810677
10,3,14354,123.490386,14354,120.3876271
10,4,13865,122.1790119,13865,120.8901551
10,5,12406,123.8732871,12406,120.9414799
10,6,12377,122.639331,12377,119.8573968
10,7,12991,119.6315141,12991,120.2673389
10,8,14557,120.5271004,14557,118.9914131
10,9,11796,146.0690912,11796,240.5478976
10,10,12414,122.5827292,12414,121.372241
10,11,17250,119.4891594,17250,119.5856232
10,12,11066,123.4291524,11066,121.8861377
10,13,13176,121.9907407,13176,120.6952034
10,14,13503,122.6000148,13503,120.3275568
10,15,9981,140.9665364,9981,200.750526
11,1,26659,124.4252973,26659,123.975693
11,2,14954,121.9926441,14954,120.8294771
11,3,18461,122.3928823,18461,121.2320026
11,4,12855,122.2729677,12855,119.7997666
11,5,13830,122.9237166,13830,120.3805495
11,6,13346,122.1965383,13346,120.1031021
11,7,13785,121.6250997,13785,120.7059122
11,8,12973,119.5762738,12973,120.0853311
11,9,12251,122.7365929,12251,121.116317
11,10,18919,119.5567419,18919,119.7194355
11,11,12744,123.1339454,12744,120.6465003
11,12,10871,123.0401987,10871,121.7554963
11,13,14887,120.1556391,14887,118.9765567
11,14,12249,127.0155115,12249,152.8955833
11,15,10203,128.3424483,10203,149.0118593
12,1,17908,121.5833706,17908,121.0164731
12,2,15344,119.9460375,15344,118.5913712
