Frame,ID,Volume_nowarp,MeanIntensity_nowarp,Centroid_1,Centroid_2,Centroid_3
1,1,122027,239.68297999623,542.474075409541,500.461397887353,394.940054250289
1,2,121085,249.101779741504,381.254622785646,304.038881777264,477.841235495726
1,3,139711,228.734029532392,334.313189369484,392.696215759675,464.041779101145
1,4,124578,304.0156688982,435.352630480502,444.633659233573,346.875539822441
1,5,155240,288.825592630765,503.388553207936,355.536459675341,429.020097912909
1,6,115225,267.090006509004,405.516302885658,365.754402256455,480.7265784335
1,7,126805,252.202839004771,284.859682189188,444.769409723591,487.15379519735
1,8,123419,253.944392678599,468.993364068741,312.168029233748,507.855395036421
1,9,134722,307.278566232687,356.199670432446,499.81060257419,425.120299579876
1,10,154542,242.112474278837,385.135652443996,325.683516455074,556.565192633718
1,11,121827,244.647270309537,558.659689559786,305.971927405255,461.942065387804
1,12,161354,262.120771719325,523.029339216877,486.632776379885,684.261065731249
1,13,133400,204.963050974513,443.53583958021,522.674122938531,374.33547976012
1,14,124220,285.484020286588,351.639446143938,447.791643857672,379.733134760908
1,15,132195,253.370089640304,635.233443019781,420.041718673172,467.254661674042
1,16,160865,227.375812016287,611.952680819321,418.404942032139,399.351014826096
1,17,119755,183.097290301031,638.075763016158,433.944127593837,586.413218654753
1,18,131274,291.181079269315,578.54166857108,374.88356414827,468.975638740345
1,19,127200,320.778254716981,537.163317610063,636.051139937107,554.652209119497
1,20,177568,281.531317579744,563.025404352136,565.409386826455,407.985532303118
1,21,117385,311.279081654385,488.563675086255,387.923695531797,483.807692635345
1,22,121995,187.293438255666,495.940390999631,515.82835362105,320.415320300012
1,23,105809,182.274995510779,483.767061403094,466.476708030508,432.564337627234
1,24,141536,294.902081449243,355.494397185168,582.275004239204,440.808239599819
1,25,119607,298.435033066627,345.171035140084,371.627120486259,383.404775640222
1,26,144388,274.664002548688,359.091240269274,516.498317034657,351.346690860736
1,27,101521,265.819978132603,527.55299888693,424.181607746181,367.137912353109
1,28,101478,250.153294310097,436.00705571651,428.060968879954,412.260608210647
1,29,152542,262.107308151198,515.704337166158,317.439944408753,568.371766464318
1,30,150472,223.208018767611,401.519638205115,353.672689935669,406.143827423042
1,31,152029,259.4219195022,337.07910332897,472.584796321754,645.981957389709
1,33,92820,247.888989441931,473.747338935574,347.258801982331,368.611538461538
2,1,138820,275.134915718196,331.203825097248,388.508939634058,451.239137011958
2,2,129688,229.20398957498,442.269870766763,521.199887422121,397.054708222812
2,3,133954,203.511944398823,361.140876718874,499.02467264882,421.23827582603
2,4,132736,291.738767176953,616.77231497107,356.984179122469,491.111695395371
