Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Centroid_1,Centroid_2,Centroid_3
1,1,23243,142.375080669449,142.375080669449,0.350041604169839,844.466376973712,957.712300477563,53.7434496407521
1,2,26952,145.804207479964,145.804207479964,0.386983629674508,760.917631344613,1028.7946720095,43.0404051647373
1,3,24212,136.311746241533,136.311746241533,0.3606953976851,671.346191970924,1009.05427060962,48.5814885180902
1,4,27451,148.086991366435,148.086991366435,0.383077829937758,872.241849112965,1033.65221667699,62.9280900513643
1,5,22716,143.441186828667,143.441186828667,0.37011754242745,745.780903328051,913.285041380525,50.7475347772495
1,6,8056,171.696871896723,183.971098603974,0.439809687132759,837.214250248262,1153.70916087388,39.9232869910626
1,7,11890,156.515559293524,163.975762140391,0.406964631785279,753.436837678722,1114.96635828427,47.9856181665265
1,8,11730,143.876641091219,143.876641091219,0.388091172551201,813.411764705882,1179.20758738278,61.8400682011935
1,9,9278,187.939965509808,208.229819454166,0.50426956361556,922.848350937702,1016.4297262341,51.0075447294676
1,10,12695,156.968964159118,165.841766445389,0.423216635054814,772.113745569122,1048.97093343836,57.9438361559669
1,11,14654,153.133069469087,153.133069469087,0.394734397159482,645.875051180565,967.725876893681,65.5674218643374
2,1,24886,141.499156152053,141.499156152053,0.364202592955039,840.964036004179,952.787189584505,52.0790002410994
2,2,23532,141.672403535611,141.672403535611,0.385898083518401,740.490098589155,911.098419173891,51.4020907700153
2,3,30642,145.13226943411,152.971993749058,0.412586342344339,880.802395405,1027.09829645585,61.4270282618628
2,4,14762,156.640495867769,167.017658708366,0.427647565526985,768.222056631893,1044.67876981439,57.743869394391
2,5,12668,152.381038838017,160.422157789767,0.416409513769979,752.578307546574,1111.87985475213,49.1038838017051
2,6,10923,179.689187952028,187.754794426907,0.406806175716285,910.539229149501,1015.26256522933,49.963746223565
2,7,13073,141.332364415207,141.332364415207,0.399352532152132,828.984395318596,1174.88158800581,61.5340013768837
2,8,9834,171.690054911531,155.391090620566,0.513188821284058,808.491254830181,1165.42637787269,40.9751881228391
2,9,12454,163.356110486591,176.931610092405,0.495346513582058,755.079813714469,1034.29243616509,39.7919543921632
2,10,17172,147.280048916841,153.669053691468,0.406452247477105,649.253901700443,959.969659911484,65.7783601211274
2,11,11073,150.024473945634,161.342952864238,0.479550040538239,628.186670279057,1028.19696559198,49.2585568499955
3,1,22804,138.165979652692,138.165979652692,0.365022780152844,831.488598491493,951.071084020347,50.7519733380109
3,2,23554,138.079009934618,138.079009934618,0.368113425547884,732.142820752314,910.990235204212,51.1645155812176
3,3,14438,151.466131043081,142.445034630215,0.410182834781665,764.643371658124,1041.98282310569,57.0690538855797
3,4,12458,145.829266334885,138.887258952361,0.403078335294319,749.523438754214,1110.73840102745,49.0374056830952
3,5,11175,172.900134228188,185.434865943062,0.406982380937855,900.143982102908,1015.87454138702,48.5315436241611
3,6,14831,145.883419863799,145.883419863799,0.538608004281045,743.552423976805,1027.5085294316,38.8312993055087
3,7,11652,133.86508753862,133.86508753862,0.347262395659809,817.53964984552,1177.60075523515,60.591658084449
3,8,17010,150.176131687243,156.85604539941,0.405141703484203,643.577366255144,955.408641975309,65.3874779541446
3,9,11057,164.208736546984,172.670777677687,0.432062249870489,878.957492990865,1024.61011124175,61.1618883964909
3,10,11571,152.854982283294,152.854982283294,0.501432870963467,618.500561749201,1022.97165327111,49.9796906058249
3,11,10213,145.93694311172,136.850165073876,0.553295230025732,798.646528933712,1167.86350729462,41.5771076079507
4,1,12155,174.66186754422,161.967794781364,0.411159870680001,901.910489510489,1004.41554915673,47.6189222542164
4,2,24206,140.646286044782,140.646286044782,0.365905832381424,834.194042799306,945.08159134099,50.4354292324217
4,3,11298,146.859355638166,139.760600857018,0.427864579263661,810.023632501328,1162.96123207647,42.3840502743848
4,4,13446,143.218578015767,143.218578015767,0.409744696877243,777.767217016213,1115.77279488324,49.3632307005801
4,5,22193,137.639030324877,137.639030324877,0.356339280554548,735.63691253999,912.619384490605,52.8172847294192
4,6,18254,146.259340418538,146.259340418538,0.392295978993551,663.29955078339,949.330886381067,66.1776049085132
4,7,15932,155.249560632689,167.35247025886,0.502157098206918,893.857896058248,1038.36555360281,61.1264122520713
4,8,15038,146.92119962761,146.92119962761,0.387932308359204,781.118765793324,1048.95105732145,57.4786540763399
4,9,12786,136.75449710621,136.75449710621,0.395173240934531,820.467777256374,1188.96918504614,59.7753011105897
4,10,5304,164.934389140271,177.36655035576,0.471111641364498,751.725113122172,1008.95776772247,37.3220211161388
4,11,5800,152.763793103448,164.521416447878,0.490246330271024,722.362413793103,1055.935,45.1541379310345
4,12,3870,180.510594315245,180.510594315245,0.591230674273263,585.206718346253,974.557105943152,46.7439276485788
4,14,3976,175.442404426559,199.51568178851,0.575782196434855,709.111167002012,1059.59733400402,56.2235915492958
5,1,12115,165.492942633099,165.492942633099,0.41936588462583,867.303838217086,1010.86991333058,44.7509698720594
5,2,24314,142.088878835239,142.088878835239,0.392339221301091,731.152463601217,914.007608785062,53.7512132927531
5,3,13357,150.070449951336,142.312215200527,0.400313169743252,763.022085797709,1131.49292505802,49.7887998802126
5,4,24306,140.731547765984,140.731547765984,0.38095079103017,819.80391672838,949.623467456595,50.3258043281494
5,5,18253,150.951131320879,157.930908714171,0.405340178800473,671.352106503041,941.848024982195,66.5331726291569
5,6,15079,145.49021818423,138.669804876238,0.407340939050917,826.609589495325,1193.03660720207,58.8024404801379
5,7,15268,153.480547550432,153.480547550432,0.400657081291811,784.38485721771,1058.63525019649,58.1813597065758
5,8,6150,200.259024390244,234.696655608836,0.575891683929755,878.488617886179,1070.46601626016,52.7839024390244
5,9,5492,183.786416605972,216.611701351436,0.619896813827417,718.38146394756,973.853969410051,35.9528404952658
5,10,10053,168.513975927584,159.364755899898,0.48350602093787,763.438078185616,1137.63622799164,40.3605888789416
5,11,4954,177.485466289867,177.485466289867,0.609416776584268,688.713968510295,1090.89422688736,50.8449737585789
5,12,5580,170.519892473118,185.621336657774,0.491549568897513,592.060394265233,976.82688172043,46.5224014336918
5,14,5981,168.26918575489,184.094381599265,0.47943998894016,921.779133924093,1024.18341414479,61.4278548737669
5,15,5076,156.694641449961,167.62596932233,0.452271411975966,695.957446808511,1072.70784081954,60.121158392435
6,1,15240,140.323556430446,140.323556430446,0.374736969126441,739.221128608924,1115.21955380577,50.4076771653543
6,2,24187,136.197668168851,136.197668168851,0.374376041709507,747.726754041427,912.273039235953,54.3864059205358
6,3,12552,145.019598470363,154.944936054438,0.494521658038409,875.226019757808,962.745857233907,52.5159337157425
6,4,17438,150.362828305998,150.362828305998,0.386197009088967,778.911629774057,1056.96146347058,58.6227778414956
6,5,18817,145.41446564277,145.41446564277,0.397597271615338,697.892703406494,924.555136312909,67.5558271775522
6,6,9370,148.106296691569,148.106296691569,0.38941144160274,767.809605122732,960.597545357524,39.0449306296692
6,7,9995,138.404602301151,138.404602301151,0.363838997957675,688.344772386193,1044.15147573787,60.7823911955978
6,8,9323,147.808216239408,153.040301602487,0.418044943974822,861.271371876006,1130.95806071007,50.1912474525367
6,9,10536,130.301632498102,130.301632498102,0.329003568854732,804.671507213364,1175.58684510251,61.744874715262
