81_1,,7,12,54,63,74
81_2,2,16,24,62,71,
81_9,3,10,15,61,67,
81_13,5,11,17,41,64,79
81_15,9,15,20,,,
81_25,10,17,24,65,74,
81_30,,17,24,63,70,
81_32,7,11,17,56,62,75
81_57,,17,24,63,71,
81_59,3,10,15,57,64,78
81_60,10,17,24,65,74,
81_77,,,,43,44,56
81_78,3,17,22,60,68,79
81_88,4,17,22,67,,
81_96,4,17,22,67,,
81_98,,13,28,61,77,
81_99,,18,24,66,74,
81_103,,5,10,45,55,74
81_104,,7,12,53,63,76
81_105,2,13,18,40,63,74
81_106,8,11,17,62,62,75
81_4,4,10,15,61,67,
81_5,,13,28,61,77,
81_8,2,13,18,40,63,74
81_10,,5,10,40,45,61
81_11,,4,10,41,47,59
81_12,4,10,42,54,69,
81_14,,8,13,47,52,63
81_16,,5,10,58,67,
81_17,3,8,35,46,,
81_18,,7,12,48,57,62
81_19,3,8,42,49,66,
81_20,3,8,42,49,65,
81_21,,13,29,60,,
81_22,,13,29,60,81,
81_23,3,8,36,43,49,
81_24,,4,10,41,47,60
81_26,,5,10,51,61,71
81_27,,5,10,46,54,61
81_28,3,8,45,52,62,
81_29,5,10,17,60,68,78
81_33,,13,17,54,62,76
81_34,,7,12,48,56,76
81_35,,5,10,58,67,
81_36,10,17,22,60,70,
81_37,4,9,55,60,,
81_40,,6,11,45,53,68
81_41,3,17,22,60,70,
81_42,3,8,45,52,62,
81_43,3,17,22,60,67,
81_44,,11,16,45,54,67
81_45,5,11,17,63,78,79
81_46,,,6,39,44,61
81_47,,5,10,46,54,61
81_48,,11,16,54,63,
81_49,15,18,,,,
81_50,4,9,50,65,,
81_52,,7,12,57,63,67
81_53,5,10,17,60,68,77
81_54,,13,17,54,62,
81_55,4,9,55,76,,
81_56,,4,9,47,59,67
81_58,3,8,37,43,60,
81_61,,4,9,44,51,75
81_62,2,17,22,50,70,
81_63,5,11,17,63,77,
81_64,,6,12,44,53,71
81_65,,7,13,46,57,72
81_66,4,9,43,54,73,
81_67,8,13,18,56,60,77
81_68,,5,10,40,46,68
81_70,,45,67,6,37,
81_71,,5,10,51,61,72
81_72,,7,12,63,72,
81_73,,4,9,47,59,74
81_74,,13,17,,,
81_75,,6,12,47,52,77
81_79,7,13,18,54,60,76
81_80,,6,12,47,53,70
81_81,,8,13,42,51,66
81_82,3,8,36,46,60,
81_83,,11,16,45,54,66
81_84,,7,12,50,59,78
81_85,8,13,18,57,63,75
81_86,4,9,50,66,,
81_87,2,7,12,50,59,76
81_89,8,13,18,56,63,75
81_90,,7,13,46,56,77
81_91,,4,9,44,51,
81_92,,11,16,54,63,
81_93,2,13,18,,,
81_94,12,17,23,,,
81_95,2,17,22,49,70,
81_97,,8,13,42,50,64
81_100,3,10,15,57,65,77
81_102,,7,12,53,63,
81_107,,7,12,53,63,
81_108,2,15,25,55,64,71
81_452,6,16,24,63,69,
81_560,5,12,18,57,63,
81_6,,18,24,66,,
