Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
0,1,320498,119.9667892,119.9667892,0.154299931,320498,119.9780373,119.9780373,0.192027119
0,2,254451,120.3625413,120.3625413,0.22013583,254451,120.7339331,120.7339331,0.23656353
0,3,287240,121.6318862,121.6318862,0.234338075,287240,121.7633616,121.7633616,0.239453119
0,4,261261,120.8695787,120.8695787,0.292957153,261261,121.2137211,121.2137211,0.306385423
0,5,323493,123.2682964,123.2682964,0.318524774,323493,123.9236305,123.9236305,0.275864721
0,6,300649,120.04776,120.04776,0.111903933,300649,119.9062195,119.9062195,0.142374536
0,7,208824,120.9997941,120.9997941,0.28888186,208824,120.9891966,120.9891966,0.365932892
0,8,229925,120.2573883,120.2573883,0.24417168,229925,119.7953333,119.7953333,0.33908031
0,9,151971,121.4273908,121.4273908,0.230911619,151971,121.779175,121.779175,0.274785042
0,10,145354,121.2629649,121.2629649,0.305619242,145354,122.3901165,122.3901165,0.261270571
0,11,56381,120.6824285,120.6824285,0.213844464,56381,120.9526436,120.9526436,0.22525219
0,12,86086,119.2785238,119.2785238,0.142860671,86086,119.4168622,119.4168622,0.219903911
4,1,281233,121.122411,121.122411,0.166499002,281233,121.768434,121.768434,0.220474797
4,2,237912,120.4754489,120.4754489,0.109891581,237912,120.4538989,120.4538989,0.140997986
4,3,257030,123.0441699,123.0441699,0.369584607,257030,124.1906548,124.1906548,0.341547153
4,4,235817,121.3276312,121.3276312,0.268027725,235817,121.9095358,121.9095358,0.285366665
4,5,193872,123.1073028,123.1073028,0.311274549,193872,123.5809039,123.5809039,0.327484361
4,6,176859,122.0755065,122.0755065,0.290799288,176859,123.2909323,123.2909323,0.34215967
4,7,148049,124.9295706,126.8347425,0.453961198,148049,126.2841627,126.2841627,0.384240776
4,8,158014,121.420988,121.420988,0.219582895,158014,121.5416672,121.5416672,0.218051097
4,9,112514,123.047043,123.047043,0.368129468,112514,124.0576373,124.0576373,0.323938652
4,10,127407,121.6220302,121.6220302,0.2935242,127407,122.324731,122.324731,0.268069832
