Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Centroid_1,Centroid_2,Centroid_3
1,1,25224,145.553560101491,0,0,780.299119885823,1080.8683396765,47.9344671741199
1,2,21660,155.220129270545,0,0,697.773130193906,1004.88587257618,40.0269621421976
1,3,15165,138.141378173426,0,0,586.11579294428,1083.37566765579,47.065347840422
1,4,13698,129.032997517886,0,0,613.626149802891,1123.55329245145,54.7567528106293
1,5,14811,135.849436229829,0,0,734.331442846533,878.467422861387,56.4880156640335
1,6,13773,132.043490887969,0,0,636.883612865752,994.60161184927,61.8894213315908
1,8,12749,129.540748293984,0,0,696.718173974429,1127.0243156326,53.7816299317594
1,9,13271,131.85057644488,0,0,742.466807324241,1017.06841986286,64.644864742672
1,10,5164,162.351665375678,0,0,551.724825716499,1008.65956622773,42.8638652207591
1,11,13592,148.674072984108,0,0,576.692539729253,1017.25183931725,31.7541200706298
1,12,11039,131.930972008334,0,0,688.237159162968,1034.28571428571,50.8315970649515
1,13,8207,139.138418423297,0,0,666.500548312416,1203.03570123066,49.3583526258072
1,15,6582,144.283804314798,0,0,668.623366757824,1107.19963536919,33.0543907626861
1,16,5669,152.755159640148,0,0,645.001587581584,900.383841947433,53.4642794143588
2,1,16608,138.023723506744,0,0,776.703094894027,1159.69954238921,53.8679552023121
2,2,26057,154.550485474153,0,0,690.929001803738,1119.62770080976,38.0107840503512
2,3,14400,147.526458333333,0,0,568.663125,1031.61590277778,49.8063888888889
2,4,13976,143.69640812822,0,0,555.877361190613,890.965011448197,43.5998139668002
2,5,13019,144.894922805131,0,0,845.438666564252,1031.98709578309,50.094861356479
2,6,13168,132.67329890644,0,0,566.07434690158,1163.55794349939,45.5164793438639
2,7,11243,140.116516943876,0,0,642.038068131282,1145.03548874855,49.0232144445433
2,8,10266,138.742450808494,0,0,579.919540229885,953.650399376583,52.8991817650497
2,9,13058,132.760453361924,0,0,587.914152243835,1104.53783121458,53.1000918976872
2,10,10133,143.60317773611,0,0,763.227375900523,980.671370768775,54.6195598539426
2,11,10283,136.695516872508,0,0,689.686181075562,1060.05163862686,48.6996985315569
2,12,11401,138.110078063328,0,0,556.353390053504,1000.83422506798,35.8101920884133
2,13,13321,135.111778395015,0,0,729.557165377975,1080.12168756099,59.2413482471286
2,14,10952,176.695945945946,0,0,682.169831994156,950.768991964938,40.6926588750913
3,1,12434,143.553643236288,0,0,556.651037477883,1120.45126266688,44.4543992279234
3,2,13684,143.783323589594,0,0,548.880590470623,909.002338497515,48.1091786027477
3,3,15343,143.334224076126,0,0,634.895457211758,892.461383041126,58.1612461708923
3,4,11722,136.329551271114,0,0,550.888756184951,1098.61380310527,52.0354035147586
3,5,13973,134.173978386889,0,0,482.581764832176,1079.82487654763,45.4105775424032
3,6,13634,147.695467214317,0,0,572.099017162975,1023.43963620361,53.864309813701
3,7,5004,184.799960031974,0,0,664.388689048761,920.807553956835,41.9176658673062
