Frame,ID,Volume_nowarp,MeanIntensity_nowarp,Volume_warp,MeanIntensity_warp
1,1,25224,143.88177925785,25224,165.317277196321
1,2,21660,134.803370267775,21660,132.395152354571
1,3,15165,128.524299373558,15165,124.038641608968
1,4,13698,121.945758504891,13698,120.118411446927
1,5,14811,120.644520964148,14811,128.106069812977
1,6,13773,121.344006389312,13773,120.006389312423
1,8,12749,122.933641854263,12749,121.84665463958
1,9,13271,122.358601461834,13271,121.892698364856
1,10,5164,130.042602633617,5164,137.572811773819
1,11,13592,124.916642142437,13592,123.550765155974
1,12,11039,129.010055258629,11039,141.072742096204
1,13,8207,131.042280979652,8207,138.864384062386
1,15,6582,134.702522029778,6582,156.359617137648
1,16,5669,121.105133180455,5669,136.644558123126
2,1,16608,123.440751445087,16608,121.918171965318
2,2,26057,146.97516982001,26057,176.950608281844
2,3,14400,126.742152777778,14400,123.926736111111
2,4,13976,119.800300515169,13976,122.046365197481
2,5,13019,119.955065673247,13019,122.03034027191
2,6,13168,141.639049210207,13168,186.994684082625
2,7,11243,124.027039046518,11243,121.897892021702
2,8,10266,135.876972530684,10266,175.149425287356
2,9,13058,122.287256854036,13058,120.385587379384
2,10,10133,133.910687851574,10133,188.1106286391
2,11,10283,124.271029855101,10283,122.528833997861
2,12,11401,163.039294798702,11401,249.349530742917
2,13,13321,122.73530515727,13321,120.470835522859
2,14,10952,131.723794740687,10952,133.355734112491
3,1,12434,126.292423998713,12434,121.829499758726
3,2,13684,141.160917860275,13684,190.450087693657
3,3,15343,119.502965521736,15343,122.020139477286
3,4,11722,121.802593414093,11722,119.699880566456
3,5,13973,137.795033278466,13973,161.077792886281
3,6,13634,124.690406337098,13634,122.938902743142
3,7,5004,125.405275779376,5004,134.612110311751
3,8,13774,123.83991578336,13774,120.788441992159
3,9,13119,122.041466575196,13119,121.78230048022
3,10,9981,136.031660154293,9981,179.8396954213
3,11,7867,130.507563238846,7867,131.790390237702
3,12,14010,126.13982869379,14010,122.506780870807
3,13,12467,139.199005374188,12467,169.702975856261
3,14,14790,122.846855983773,14790,119.865990534145
3,59,33347,133.539328875161,33347,133.719524994752
4,1,9429,126.973486053664,9429,164.280199384876
4,2,14747,122.409913880789,14747,121.709635858141
4,3,14476,122.168347609837,14476,121.396518375242
4,4,14856,121.563274098008,14856,119.532512116317
4,5,15901,123.836928495063,15901,124.153826803346
4,6,13176,124.901108075288,13176,121.092516697025
4,7,15254,127.86357676675,15254,123.332896289498
4,8,15898,119.038935715184,15898,121.29632658196
4,9,8737,131.041661897677,8737,154.416733432528
4,10,15025,123.747420965058,15025,120.879201331115
4,11,12720,122.257468553459,12720,121.243946540881
4,12,13684,124.335428237358,13684,122.88592516808
4,13,11916,121.070661295737,11916,121.163141993958
4,14,13089,122.465658186263,13089,119.805943922378
4,60,22267,132.822248169938,22267,133.788790586967
5,1,10460,129.48154875717,10460,189.128202676864
5,2,13507,122.382468349745,13507,121.108758421559
5,3,14931,123.762842408412,14931,123.729221083651
5,4,10320,136.883333333333,10320,176.859205426357
5,5,15066,119.257068896854,15066,121.618213195274
5,6,12251,121.418169945311,12251,121.402987511224
5,7,15260,122.30124508519,15260,121.597771952818
5,8,13424,122.667386769964,13424,119.840360548272
5,9,11611,125.527000258376,11611,122.228834725691
5,10,12067,124.455042678379,12067,121.278776829369
5,11,12844,121.801775147929,12844,119.515960759888
5,12,13920,122.674137931034,13920,121.56400862069
5,13,14774,123.047718965751,14774,120.450385812915
5,15,14292,124.050237895326,14292,122.925762664428
5,62,11362,131.433022355219,11362,131.992694948073
5,63,10517,133.965009032994,10517,132.898259960065
6,1,16015,124.104339681549,16015,122.151732750546
6,2,9372,133.188753734528,9372,162.79844216816
6,3,13399,122.767818493917,13399,120.756996790805
6,4,15514,122.299987108418,15514,119.922005930128
6,5,12894,123.843493097565,12894,121.716922599659
6,6,14553,123.089603518175,14553,120.065622208479
6,7,14241,122.294572010393,14241,121.058563303139
6,8,12413,123.742205752034,12413,124.90743575284
6,9,14677,126.2088301424,14677,123.269469237583
6,10,13381,123.087213212764,13381,120.934907704955
6,11,13873,120.158941829453,13873,120.93923448425
6,12,13358,120.442955532265,13358,123.456580326396
6,13,7206,135.591729114627,7206,161.33569247849
6,14,13023,121.124011364509,13023,119.150733317976
6,15,12733,123.260268593419,12733,121.071939055996
6,16,11720,121.44837883959,11720,121.209300341297
7,1,14842,121.630440641423,14842,120.110092979383
7,2,12605,120.280047600159,12605,121.008171360571
7,3,13922,121.346358281856,13922,121.26217497486
7,4,16057,121.767391168961,16057,125.471134084823
7,5,14844,121.585960657505,14844,119.600714093236
7,6,13884,120.53399596658,13884,120.478032267358
7,7,14573,122.602209565635,14573,120.327043162012
7,8,9680,138.132231404959,9680,181.084814049587
7,9,13696,120.898364485981,13696,118.816077686916
7,10,15627,122.221539642926,15627,119.993344851859
7,11,13674,122.724367412608,13674,120.136609624104
7,12,11024,121.861121190131,11024,120.61982946299
7,13,11171,142.730820875481,11171,180.856951033927
7,14,13720,124.342201166181,13720,121.853790087464
7,15,12590,122.963780778396,12590,121.159968228753
7,16,13806,123.389178617992,13806,121.088150079676
8,1,14915,123.276097888032,14915,120.915454240697
8,2,13869,121.987454034177,13869,121.205350061288
8,3,12372,122.005981247979,12372,120.883042353702
8,4,12268,123.890446690577,12268,120.644685360287
8,5,13850,121.888880866426,13850,120.691696750903
8,6,11454,133.284442116291,11454,163.75240090798
8,7,13171,122.880646875712,13171,120.150482119809
8,8,13611,120.893688928073,13611,119.767761369481
8,9,11899,121.837549373897,11899,119.073367509875
8,10,13798,123.188215683432,13798,121.900855196405
8,11,12538,124.756819269421,12538,123.09172116765
8,12,13009,133.463140902452,13009,164.349450380506
8,13,14170,123.911220889203,14170,121.714537755822
8,14,13948,122.405864640092,13948,121.343203326642
8,15,11403,123.342804525125,11403,122.956502674735
8,16,6454,119.556089246979,6454,125.320886272079
9,1,15344,122.868091762252,15344,120.167427007299
9,2,13979,123.775234279991,13979,121.166320909936
9,3,15429,124.37753580919,15429,122.49264372286
