124_12,,,35,43,49,79,91,101
124_42,,,37,47,53,85,98,109
124_34,,,37,47,53,86,98,111
124_54,,,37,47,53,90,97,107
124_30,,,37,47,53,90,97,107
124_203,,,41,53,61,96,103,122
124_205,,,41,53,61,96,103,124
124_5,,,49,53,59,89,101,114
124_17,,,49,53,59,89,101,114
124_26,,,,46,52,86,97,107
124_21,,,,46,52,86,98,106
124_7,4,9,41,56,61,101,109,121
124_35,4,9,40,56,61,91,104,116
124_11,4,9,40,56,61,91,104,115
124_9,3,9,35,43,48,86,90,101
124_6,,7,13,43,50,55,102,119
124_204,,7,13,43,50,55,102,117
124_29,,7,13,43,50,55,112,
124_33,,7,13,43,50,55,112,120
124_4,,7,13,50,54,59,110,
124_23,,7,13,50,54,59,109,121
124_206,,7,13,50,54,59,102,119
124_199,,7,13,50,54,59,103,111
124_201,3,9,35,43,48,85,89,104
124_27,3,9,35,43,48,85,89,112
124_10,3,9,35,43,48,86,90,100
124_200,4,9,41,56,61,101,109,
124_15,3,9,39,47,53,89,96,103
124_20,3,9,39,47,53,89,96,102
124_32,3,9,39,48,53,103,117,
124_36,3,9,39,48,53,104,118,
124_49,3,9,41,55,61,98,110,118
124_210,3,9,41,55,61,98,110,
124_47,3,9,42,55,61,97,109,
124_43,3,9,42,55,61,97,110,122
124_8,4,9,38,49,54,84,94,102
124_22,4,9,38,49,54,84,95,101
124_202,4,9,38,49,53,83,90,99
124_211,4,9,38,49,53,83,91,101
124_53,4,9,38,51,55,82,89,97
124_50,4,9,38,51,55,82,89,99
124_14,4,9,38,51,55,81,88,95
124_45,4,9,38,51,55,81,89,95
124_24,2,12,17,49,59,65,,
124_40,2,12,17,49,59,65,,
124_25,2,12,17,45,62,69,,
124_52,2,12,17,45,63,69,,
124_19,,,35,44,50,76,86,95
124_48,,,35,44,49,76,86,95
124_38,,,36,44,49,79,88,95
124_37,,,36,44,49,79,88,95
124_41,,,,47,51,83,95,101
124_207,,,,47,51,83,95,102
124_46,,,,45,50,91,98,122
124_18,,,,45,50,91,98,112
124_212,,,,45,50,83,95,106
124_28,,,37,45,50,83,95,119
124_31,,,35,43,49,74,83,89
124_39,,,35,43,49,74,83,89
