Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Centroid_1,Centroid_2,Centroid_3
1,1,23243,142.3750807,0,0,844.466377,957.7123005,53.74344964
1,2,26952,145.8042075,0,0,760.9176313,1028.794672,43.04040516
1,3,24212,136.3117462,0,0,671.346192,1009.054271,48.58148852
1,4,27451,148.0869914,0,0,872.2418491,1033.652217,62.92809005
1,5,22716,143.4411868,0,0,745.7809033,913.2850414,50.74753478
1,6,8056,171.6968719,0,0,837.2142502,1153.709161,39.92328699
1,7,11890,156.5155593,0,0,753.4368377,1114.966358,47.98561817
1,8,11730,143.8766411,0,0,813.4117647,1179.207587,61.8400682
1,9,9278,187.9399655,0,0,922.8483509,1016.429726,51.00754473
1,10,12695,156.9689642,0,0,772.1137456,1048.970933,57.94383616
1,11,14654,153.1330695,0,0,645.8750512,967.7258769,65.56742186
2,1,24886,141.4991562,0,0,840.964036,952.7871896,52.07900024
2,2,23532,141.6724035,0,0,740.4900986,911.0984192,51.40209077
2,3,30642,145.1322694,0,0,880.8023954,1027.098296,61.42702826
2,4,14762,156.6404959,0,0,768.2220566,1044.67877,57.74386939
2,5,12668,152.3810388,0,0,752.5783075,1111.879855,49.1038838
2,6,10923,179.689188,0,0,910.5392291,1015.262565,49.96374622
2,7,13073,141.3323644,0,0,828.9843953,1174.881588,61.53400138
2,8,9834,171.6900549,0,0,808.4912548,1165.426378,40.97518812
2,9,12454,163.3561105,0,0,755.0798137,1034.292436,39.79195439
2,10,17172,147.2800489,0,0,649.2539017,959.9696599,65.77836012
2,11,11073,150.0244739,0,0,628.1866703,1028.196966,49.25855685
3,1,22804,138.1659797,0,0,831.4885985,951.071084,50.75197334
3,2,23554,138.0790099,0,0,732.1428208,910.9902352,51.16451558
3,3,14438,151.466131,0,0,764.6433717,1041.982823,57.06905389
3,4,12458,145.8292663,0,0,749.5234388,1110.738401,49.03740568
3,5,11175,172.9001342,0,0,900.1439821,1015.874541,48.53154362
3,6,14831,145.8834199,0,0,743.552424,1027.508529,38.83129931
3,7,11652,133.8650875,0,0,817.5396498,1177.600755,60.59165808
3,8,17010,150.1761317,0,0,643.5773663,955.408642,65.38747795
3,9,11057,164.2087365,0,0,878.957493,1024.610111,61.1618884
3,10,11571,152.8549823,0,0,618.5005617,1022.971653,49.97969061
3,11,10213,145.9369431,0,0,798.6465289,1167.863507,41.57710761
4,1,12155,174.6618675,0,0,901.9104895,1004.415549,47.61892225
4,2,24206,140.646286,0,0,834.1940428,945.0815913,50.43542923
4,3,11298,146.8593556,0,0,810.0236325,1162.961232,42.38405027
4,4,13446,143.218578,0,0,777.767217,1115.772795,49.3632307
4,5,22193,137.6390303,0,0,735.6369125,912.6193845,52.81728473
4,6,18254,146.2593404,0,0,663.2995508,949.3308864,66.17760491
4,7,15932,155.2495606,0,0,893.8578961,1038.365554,61.12641225
4,8,15038,146.9211996,0,0,781.1187658,1048.951057,57.47865408
4,9,12786,136.7544971,0,0,820.4677773,1188.969185,59.77530111
4,10,5304,164.9343891,0,0,751.7251131,1008.957768,37.32202112
4,11,5800,152.7637931,0,0,722.3624138,1055.935,45.15413793
4,12,3870,180.5105943,0,0,585.2067183,974.5571059,46.74392765
4,14,3976,175.4424044,0,0,709.111167,1059.597334,56.22359155
5,1,12115,165.4929426,0,0,867.3038382,1010.869913,44.75096987
5,2,24314,142.0888788,0,0,731.1524636,914.0076088,53.75121329
5,3,13357,150.07045,0,0,763.0220858,1131.492925,49.78879988
5,4,24306,140.7315478,0,0,819.8039167,949.6234675,50.32580433
5,5,18253,150.9511313,0,0,671.3521065,941.848025,66.53317263
5,6,15079,145.4902182,0,0,826.6095895,1193.036607,58.80244048
5,7,15268,153.4805476,0,0,784.3848572,1058.63525,58.18135971
5,8,6150,200.2590244,0,0,878.4886179,1070.466016,52.78390244
5,9,5492,183.7864166,0,0,718.3814639,973.8539694,35.9528405
5,10,10053,168.5139759,0,0,763.4380782,1137.636228,40.36058888
5,11,4954,177.4854663,0,0,688.7139685,1090.894227,50.84497376
5,12,5580,170.5198925,0,0,592.0603943,976.8268817,46.52240143
5,14,5981,168.2691858,0,0,921.7791339,1024.183414,61.42785487
5,15,5076,156.6946414,0,0,695.9574468,1072.707841,60.12115839
6,1,15240,140.3235564,0,0,739.2211286,1115.219554,50.40767717
6,2,24187,136.1976682,0,0,747.726754,912.2730392,54.38640592
6,3,12552,145.0195985,0,0,875.2260198,962.7458572,52.51593372
6,4,17438,150.3628283,0,0,778.9116298,1056.961463,58.62277784
6,5,18817,145.4144656,0,0,697.8927034,924.5551363,67.55582718
6,6,9370,148.1062967,0,0,767.8096051,960.5975454,39.04493063
6,7,9995,138.4046023,0,0,688.3447724,1044.151476,60.7823912
6,8,9323,147.8082162,0,0,861.2713719,1130.958061,50.19124745
6,9,10536,130.3016325,0,0,804.6715072,1175.586845,61.74487472
6,10,11844,142.6639649,0,0,625.5864573,935.9200439,47.61288416
6,11,11272,149.2291519,0,0,859.7913414,1063.679915,45.62375798
6,12,13017,136.6811093,0,0,721.5901513,1112.39072,42.12706461
6,13,10846,141.9259635,0,0,856.9606306,1012.514752,67.95159506
6,14,10496,137.6455793,0,0,687.404154,1060.918255,52.09670351
7,1,25139,139.4719758,0,0,766.7795059,929.8096583,55.50359998
7,2,10636,150.7725649,0,0,763.1068071,947.2888304,39.44678451
7,3,13371,139.2123252,0,0,702.5514172,1094.120185,40.7307606
7,4,15887,146.5803487,0,0,807.6048341,1202.373387,55.60917731
7,5,11162,146.1334886,0,0,636.7370543,933.6592009,50.94911306
7,6,17176,150.8891476,0,0,793.4195389,1081.418083,56.44241966
7,7,11621,153.8025987,0,0,846.3362878,1073.961621,42.09362361
7,8,18205,144.955287,0,0,738.8622356,970.2118099,68.91073881
7,9,11575,143.7699352,0,0,695.5210367,1063.103585,51.27490281
7,10,9785,148.4829842,0,0,848.815534,1146.232499,45.31272356
7,11,11858,144.1409175,0,0,890.3589981,1067.943667,64.63543599
7,12,11188,139.7147837,0,0,734.4435109,1119.090543,48.34563818
7,13,11371,135.3429778,0,0,706.8900712,1068.96535,60.17395128
7,14,10185,159.0959254,0,0,877.0091311,975.4746195,50.6131566
8,1,24159,135.8116644,0,0,764.5613643,936.3452544,55.56740759
8,2,16960,142.8165684,0,0,784.8644458,1084.258844,57.37694575
