Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid,Volume_affine,MeanIntensity_affine,GMMIntensity_affine,Bimodality_affine
0,1,178199,121.682877008288,121.682877008288,0.08847882263074,178190,121.103574835849,121.103574835849,0.112321003600619,NaN,NaN,NaN,NaN
0,2,172974,122.17064414305,122.17064414305,0.127165788191987,172966,121.672877906641,121.672877906641,0.116831504164406,NaN,NaN,NaN,NaN
0,3,142293,120.678192180922,120.678192180922,0.121801716288113,142283,120.385583660732,120.385583660732,0.106685501351658,NaN,NaN,NaN,NaN
0,4,134188,120.000588726265,120.000588726265,0.0717155191879923,134178,119.814157313419,119.814157313419,0.0695721961920868,NaN,NaN,NaN,NaN
0,5,207778,119.261692768243,119.261692768243,0.0773904578171561,207768,119.146981248315,119.146981248315,0.0802538752948938,NaN,NaN,NaN,NaN
0,6,150106,123.071169706741,123.071169706741,0.181823132250628,150095,122.20630933742,122.20630933742,0.189847985740459,NaN,NaN,NaN,NaN
0,7,173633,121.107923033064,121.107923033064,0.0886822627887297,173621,120.439342015079,120.439342015079,0.101870932969659,NaN,NaN,NaN,NaN
0,8,140851,118.469247644674,118.469247644674,0.0809973333977771,140855,118.801256611409,118.801256611409,0.0849939854768051,NaN,NaN,NaN,NaN
0,9,141220,118.488648916584,118.488648916584,0.0850183393256526,141212,118.450457468204,118.450457468204,0.0869423879488519,NaN,NaN,NaN,NaN
2,1,181285,124.301861709463,124.301861709463,0.216746509026144,181285,124.232799183606,124.232799183606,0.221781289362019,NaN,NaN,NaN,NaN
2,2,161005,121.240675755411,121.240675755411,0.112821425421322,161005,121.227079904351,121.227079904351,0.117785198067228,NaN,NaN,NaN,NaN
2,3,177271,123.372988249629,123.372988249629,0.21038051105085,177275,123.282803553801,123.282803553801,0.214851806057035,NaN,NaN,NaN,NaN
2,4,141259,120.35812231433,120.35812231433,0.100732394563434,141259,120.359672658025,120.359672658025,0.100587513965107,NaN,NaN,NaN,NaN
2,5,177789,119.447620493956,119.447620493956,0.0692442299783644,177789,119.447648617181,119.447648617181,0.0713428513748668,NaN,NaN,NaN,NaN
2,6,166207,125.391686270735,125.391686270735,0.332641308729917,166207,125.322585691337,125.322585691337,0.330697831643751,NaN,NaN,NaN,NaN
2,7,181786,122.105041092273,122.105041092273,0.13553784964723,181785,122.060505542261,122.060505542261,0.134478546701476,NaN,NaN,NaN,NaN
2,8,138181,119.001483561416,119.001483561416,0.08716696202546,138181,119.001331586832,119.001331586832,0.0886322743492986,NaN,NaN,NaN,NaN
2,9,113324,118.588004306237,118.588004306237,0.0634328187401551,113324,118.629522431259,118.629522431259,0.0604516189256547,NaN,NaN,NaN,NaN
4,1,153414,120.138853038184,120.138853038184,0.136232042116315,153448,120.129607424013,120.129607424013,0.138435608104397,NaN,NaN,NaN,NaN
4,2,171362,121.309047513451,121.309047513451,0.135331670204456,171404,121.285442580103,121.285442580103,0.131708715296939,NaN,NaN,NaN,NaN
4,3,174574,124.96004559671,124.96004559671,0.266419344741872,174565,124.904362271933,124.904362271933,0.261998529256512,NaN,NaN,NaN,NaN
4,4,155963,119.104973615537,119.104973615537,0.0761634141091127,155947,119.139887269393,119.139887269393,0.0753342369257237,NaN,NaN,NaN,NaN
4,5,188130,123.739743794185,123.739743794185,0.19964977149518,188152,123.544219567158,123.544219567158,0.205751005874916,NaN,NaN,NaN,NaN
4,6,192990,122.406388932069,122.406388932069,0.176776640030554,193013,122.333583748245,122.333583748245,0.170740135246191,NaN,NaN,NaN,NaN
4,7,182022,119.398770478294,119.398770478294,0.0861283821342601,182044,119.417064006504,119.417064006504,0.0769181517177713,NaN,NaN,NaN,NaN
4,8,173321,125.81131542052,125.81131542052,0.329032104956399,173343,125.675204652048,125.675204652048,0.336814935806257,NaN,NaN,NaN,NaN
4,9,138556,118.563880308323,118.563880308323,0.091635172250192,138567,118.61718158003,118.61718158003,0.0850441715475988,NaN,NaN,NaN,NaN
6,1,175327,118.969542626064,118.969542626064,0.0962717752219004,175327,118.922185402134,118.922185402134,0.0970956064903803,NaN,NaN,NaN,NaN
6,2,175316,121.143010335623,121.143010335623,0.0692848317019071,175316,121.062201966734,121.062201966734,0.0686200342954285,NaN,NaN,NaN,NaN
6,3,174797,125.074726682952,125.074726682952,0.23349637421041,174806,124.906868185303,124.906868185303,0.235088847004437,NaN,NaN,NaN,NaN
6,4,191955,119.322533927223,119.322533927223,0.0679810252924645,191955,119.312307572087,119.312307572087,0.0737401619529517,NaN,NaN,NaN,NaN
6,5,188003,123.821093280426,123.821093280426,0.206299979153119,188003,123.714866252134,123.714866252134,0.257130234309682,NaN,NaN,NaN,NaN
6,6,156968,120.002274348912,120.002274348912,0.0790307195042819,156968,119.986863564548,119.986863564548,0.0893063438233399,NaN,NaN,NaN,NaN
6,7,175813,125.825405402331,125.825405402331,0.274424589502359,175813,125.652972192045,125.652972192045,0.272855982079399,NaN,NaN,NaN,NaN
6,8,197782,122.222163796503,122.222163796503,0.129108453683694,197782,122.171410947407,122.171410947407,0.131127555301933,NaN,NaN,NaN,NaN
6,9,92667,118.566814507861,118.566814507861,0.0577189928688872,92667,118.604195668361,118.604195668361,0.0551045397043155,NaN,NaN,NaN,NaN
8,1,184728,120.943230046338,120.943230046338,0.104180965329878,184728,120.938092763414,120.938092763414,0.10992305981835,NaN,NaN,NaN,NaN
8,2,206475,122.030880251846,122.030880251846,0.152824825395132,206475,121.956701779876,121.956701779876,0.154162501013435,NaN,NaN,NaN,NaN
8,3,191459,124.622718179871,124.622718179871,0.238046303077977,191459,124.604150235821,124.604150235821,0.239746091800494,NaN,NaN,NaN,NaN
8,4,174743,118.994225805898,118.994225805898,0.0733223661708707,174743,118.987976628534,118.987976628534,0.0826035203706772,NaN,NaN,NaN,NaN
8,5,195369,123.667214348233,123.667214348233,0.217165633735792,195369,123.584734527996,123.584734527996,0.213230574691854,NaN,NaN,NaN,NaN
8,6,158495,119.967330199691,119.967330199691,0.102637414070772,158495,119.962743304205,119.962743304205,0.104177166140954,NaN,NaN,NaN,NaN
8,7,195424,119.233389962338,119.233389962338,0.0719061249551652,195424,119.242493245456,119.242493245456,0.0710763835007932,NaN,NaN,NaN,NaN
8,8,175276,125.725461557772,125.725461557772,0.241133684148474,175276,125.58240717497,125.58240717497,0.249379556477465,NaN,NaN,NaN,NaN
8,9,105102,118.68260356606,118.68260356606,0.0966536376640606,105102,118.744895434911,118.744895434911,0.0882035660405872,NaN,NaN,NaN,NaN
10,1,187764,120.773492256237,120.773492256237,0.0969228930557893,187764,120.720750516606,120.720750516606,0.0926672951416343,NaN,NaN,NaN,NaN
10,2,205117,121.997381981991,121.997381981991,0.170045333071928,205117,121.85347387101,121.85347387101,0.178435457365869,NaN,NaN,NaN,NaN
10,3,172163,119.842776903284,119.842776903284,0.094622445078936,172163,119.761470234603,119.761470234603,0.099268776482115,NaN,NaN,NaN,NaN
10,4,203210,123.564627725014,123.564627725014,0.216989194581317,203210,123.439107327395,123.439107327395,0.21336082420395,NaN,NaN,NaN,NaN
10,5,180998,118.949993922585,118.949993922585,0.0669048311988734,180998,118.898330368291,118.898330368291,0.0682181706888983,NaN,NaN,NaN,NaN
10,6,183913,124.266153018003,124.266153018003,0.173067693010378,183913,123.999771631152,123.999771631152,0.18223805657303,NaN,NaN,NaN,NaN
10,7,181678,125.743804973635,125.743804973635,0.344025972804021,181678,125.436117746783,125.436117746783,0.355251366588184,NaN,NaN,NaN,NaN
