Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid,Volume_affine,MeanIntensity_affine,GMMIntensity_affine,Bimodality_affine
0,1,178199,119.965448739892,119.965448739892,0.161606315160485,178190,119.96384196644,119.96384196644,0.165416992235054,NaN,NaN,NaN,NaN
0,2,172974,120.700475215928,120.700475215928,0.154798247828371,172966,120.644513950719,120.644513950719,0.157866822625302,NaN,NaN,NaN,NaN
0,3,142293,122.523398902265,122.523398902265,0.165989737749763,142283,121.88992360296,121.88992360296,0.197385615318805,NaN,NaN,NaN,NaN
0,4,134188,121.057762244016,121.057762244016,0.185279243285231,134178,120.969428669379,120.969428669379,0.204624237981072,NaN,NaN,NaN,NaN
0,5,207778,120.636949051391,120.636949051391,0.192592229466032,207768,120.395763543953,120.395763543953,0.201299915481885,NaN,NaN,NaN,NaN
0,6,150106,121.652938590063,121.652938590063,0.178721455064312,150095,121.20686232053,121.20686232053,0.20492440123824,NaN,NaN,NaN,NaN
0,7,173633,119.892013614923,119.892013614923,0.11027002576052,173621,119.666993048076,119.666993048076,0.121601381973673,NaN,NaN,NaN,NaN
0,8,140851,120.217946624447,120.217946624447,0.314040057191249,140855,121.390025203223,121.390025203223,0.294156389627861,NaN,NaN,NaN,NaN
0,9,141220,118.931603172355,118.931603172355,0.158548534113818,141212,118.919468600402,118.919468600402,0.13617118379238,NaN,NaN,NaN,NaN
2,1,181285,121.327699478721,121.327699478721,0.203938255619456,181285,121.338395344347,121.338395344347,0.200838746602471,NaN,NaN,NaN,NaN
2,2,161005,122.466532095277,122.466532095277,0.126337986884335,161005,122.418750970467,122.418750970467,0.127892018309885,NaN,NaN,NaN,NaN
2,3,177271,120.448759244321,120.448759244321,0.128706089517121,177275,120.442589197574,120.442589197574,0.127682458383648,NaN,NaN,NaN,NaN
2,4,141259,120.649204652447,120.649204652447,0.120036223995257,141259,120.642408625291,120.642408625291,0.121982998355659,NaN,NaN,NaN,NaN
2,5,177789,120.623171287312,120.623171287312,0.181021325603487,177789,120.622890055065,120.622890055065,0.181944087682699,NaN,NaN,NaN,NaN
2,6,166207,121.962203757964,121.962203757964,0.196977654952259,166207,121.984759967992,121.984759967992,0.198460315692137,NaN,NaN,NaN,NaN
2,7,181786,120.076199487309,120.076199487309,0.135769207765438,181785,120.05816761559,120.05816761559,0.133944815079097,NaN,NaN,NaN,NaN
