Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
2,1,215569,121.281547903456,121.281547903456,0.178485906745267,215569,121.510764534789,121.510764534789,0.0965150869478261
2,2,153236,122.100009136234,122.100009136234,0.270032185636428,153236,122.195339215328,122.195339215328,0.158822972217467
2,3,213850,123.582193126023,123.582193126023,0.319809759653141,213850,123.705120411503,123.705120411503,0.181431368379451
2,4,194847,122.220757825371,122.220757825371,0.193733419794462,194847,122.325763291198,122.325763291198,0.0845642316996007
2,5,212275,120.20933223413,120.20933223413,0.14176068724515,212275,120.277140501708,120.277140501708,0.0837829977700253
2,6,189197,121.990264116239,121.990264116239,0.218906078906416,189197,122.157227651601,122.157227651601,0.133828858767913
2,7,242354,119.446107759723,119.446107759723,0.156425972821798,242354,119.418268318245,119.418268318245,0.0964778661655484
2,8,195162,119.758006169234,119.758006169234,0.137725586026507,195162,119.642835183079,119.642835183079,0.0920469393219347
2,9,170696,120.181304775742,120.181304775742,0.109493983729717,170696,120.162856774617,120.162856774617,0.0711699420148274
2,10,146598,120.204000054571,120.204000054571,0.109679446311714,146598,120.250310372584,120.250310372584,0.0559261524876778
2,11,248531,123.01932153333,123.01932153333,0.283570210022257,248531,123.140083128463,123.140083128463,0.161315488284935
2,12,191456,123.728182976768,123.728182976768,0.286172283571649,191456,123.817404521143,123.817404521143,0.183924876982334
2,13,177485,120.283145054512,120.283145054512,0.179276830189802,177485,120.332433726794,120.332433726794,0.11647986879506
2,14,154467,122.753727333346,122.753727333346,0.220961640806333,154467,122.747881424511,122.747881424511,0.14120089046206
2,15,156004,123.423405810107,123.423405810107,0.242935399179485,156004,123.505954975513,123.505954975513,0.16984110495709
2,16,224433,119.856447135671,119.856447135671,0.12886759508378,224433,119.857409560983,119.857409560983,0.0732780485550152
4,1,219250,122.428104903079,122.428104903079,0.232633300765711,219250,122.711680729761,122.711680729761,0.107125052912292
4,2,186523,122.445945004101,122.445945004101,0.227299393504062,186523,122.389764264997,122.389764264997,0.163973603727901
4,3,216000,120.193384259259,120.193384259259,0.11239788764581,216000,120.164856481481,120.164856481481,0.0705856769304679
4,4,185677,127.98078921999,130.788640481433,0.464878165243578,185677,128.334958018494,128.334958018494,0.373287099800191
4,5,185227,120.467415657545,120.467415657545,0.128322064332709,185227,120.438661750177,120.438661750177,0.060653234421557
4,6,192107,120.211720551568,120.211720551568,0.155346300723072,192107,120.079096545155,120.079096545155,0.0866957616450263
