Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Centroid_1,Centroid_2,Centroid_3
1,1,34239,236.212038903005,0,0,515.546160810771,1167.59578258711,34.5245188235638
1,2,35595,193.918836915297,0,0,551.008119117854,1270.65913751931,30.5075712881023
1,3,30206,221.430742236642,0,0,649.603125206913,1118.756108058,34.6290472091637
1,4,35900,208.078857938719,0,0,685.88704735376,1137.49855153203,46.3838997214485
1,5,29628,176.597306601863,0,0,644.111786148238,1341.18323882814,35.5044214931821
1,6,12948,275.232545566883,0,0,690.032978066111,1226.43303985171,27.3632221192462
1,7,30521,219.987352970086,0,0,568.76442449461,1146.64313095901,46.0136627240261
1,8,24752,192.872899159664,0,0,651.971638655462,1248.43511635423,42.2914915966387
1,10,9512,326.63330529857,0,0,454.676198486123,1258.74705634987,39.1263666947014
2,1,40426,240.957527333894,0,0,732.177781625686,1219.36691733043,40.3136595260476
2,2,31550,246.762440570523,0,0,658.99587955626,1175.1951822504,29.1681141045959
2,3,32946,196.567231226856,0,0,615.075517513507,1285.04829114308,37.8712438535786
2,4,32578,276.895880655657,0,0,681.044201608447,1107.7555712444,41.6416600159617
2,5,34828,227.187377971747,0,0,707.571063512117,1285.44912139658,30.5347421614793
2,6,35313,170.426641746666,0,0,511.498371704471,1282.63537507434,41.865092175686
2,7,11490,306.399912967798,0,0,516.127763272411,1210.80330722367,29.3363794604003
2,8,38771,192.918547367878,0,0,556.291790255603,1160.07255422868,44.3313817028191
2,9,7662,447.243278517358,0,0,631.868311145915,1147.07400156617,52.9745497259201
3,1,37800,209.91164021164,0,0,687.145476190476,1290.81537037037,29.6649735449735
3,2,32765,238.871295589806,0,0,498.583763161911,1227.16740424233,31.8338470929345
3,3,32030,233.200905401186,0,0,601.487480487043,1188.88014361536,27.1770215423041
3,4,29843,201.668599001441,0,0,560.245518211976,1203.77247595751,41.6128740408136
3,5,30992,196.51774651523,0,0,574.326890810532,1311.32101832731,32.9241417139907
3,6,32882,185.498783528982,0,0,607.207012955416,1145.19253695031,48.8427102974272
3,7,9792,253.036866830065,0,0,709.667483660131,1197.85947712418,41.9576184640523
3,8,5979,445.64174611139,0,0,569.209734069242,1062.53135975916,38.9708981435023
3,9,7918,309.793129578176,0,0,731.332533468047,1333.31864107098,41.1064662793635
3,10,4045,508.941903584672,0,0,705.843510506799,1104.44771322621,33.1668726823239
4,1,37960,214.16981032666,0,0,647.815990516333,1188.85447839831,28.1948893572181
4,2,38335,200.130846484935,0,0,690.728916134081,1322.74052432503,28.8595278466154
4,3,35690,199.435528159148,0,0,578.692434855702,1302.93729335948,34.4838049873914
4,4,30864,217.705384914463,0,0,541.537422239502,1195.50903965785,34.2151373768792
4,5,33855,205.545059813912,0,0,696.005316792202,1155.65496972382,48.1882735194211
4,6,28831,194.433144878776,0,0,622.52963823662,1200.71516770143,42.6770490097465
4,7,13656,298.002782659637,0,0,654.350029291154,1071.41366432337,41.3060925600469
