80_2,11,24,30,80,,
80_3,6,14,20,56,71,77
80_4,15,23,29,59,66,75
80_6,8,15,20,55,67,
80_8,12,21,30,59,76,
80_13,6,14,20,56,70,
80_14,15,23,30,62,75,
80_16,8,15,20,55,67,77
80_19,11,24,30,70,77,
80_23,8,14,20,56,66,75
80_24,12,22,30,58,61,75
80_26,11,24,30,80,,
80_27,6,14,20,54,65,78
80_30,23,31,42,,,
80_32,7,15,20,57,67,77
80_39,12,21,29,59,66,
80_55,7,15,20,57,67,
80_56,12,31,39,,,
80_58,11,24,30,70,77,
80_59,13,22,29,66,71,78
80_65,17,29,38,51,47,71
80_70,8,15,20,52,65,73
80_76,36,51,75,34,,
80_84,8,15,20,52,65,72
80_99,13,22,29,66,70,78
80_100,12,22,29,58,61,75
80_102,14,22,28,57,62,75
80_107,12,21,30,59,75,76
80_109,15,23,30,62,75,
80_652,12,21,29,59,66,
80_5,,9,15,42,48,57
80_7,13,24,31,64,76,
80_9,,14,19,70,75,
80_10,10,16,21,49,58,67
80_11,6,13,19,69,,
80_12,4,11,16,56,69,
80_15,,,,,,
80_17,,10,16,49,57,
80_18,,10,16,61,,
80_20,,10,16,49,57,62
80_21,5,10,15,41,57,65
80_22,3,15,20,48,60,
80_28,,19,25,65,73,77
80_29,,10,16,61,77,
80_31,,12,18,67,76,
80_33,7,16,22,57,66,76
80_34,8,14,20,56,63,74
80_35,,8,12,42,50,71
80_36,7,14,19,52,59,73
80_37,6,18,26,49,62,67
80_38,13,24,31,64,77,78
80_40,,19,25,65,73,75
80_41,23,33,46,,,
80_42,23,31,41,,,
80_43,7,16,22,57,66,77
80_44,3,19,25,56,67,77
80_45,12,24,31,,,
80_46,36,52,75,34,,
80_47,7,14,19,50,60,
80_48,,9,15,42,49,57
80_49,,7,12,42,50,63
80_50,7,16,21,52,59,
80_51,,7,14,50,66,
80_52,5,10,15,41,57,65
80_53,,6,11,39,49,61
80_54,,8,12,56,62,
80_57,6,13,19,69,,
80_60,,12,18,62,71,
80_61,3,19,25,66,76,
80_62,4,11,16,56,68,
80_63,3,19,25,66,76,
80_64,8,14,19,53,59,77
80_66,15,23,29,59,66,75
80_67,4,11,15,,,
80_68,,19,25,,,
80_69,7,15,20,48,60,74
80_71,6,18,26,49,62,72
80_72,3,15,20,48,60,69
80_73,17,29,38,51,47,73
80_74,,8,12,56,62,
80_75,,14,19,71,,
80_77,,,,,,
80_78,7,16,21,52,59,73
80_79,,6,11,37,47,68
80_80,,9,15,,,
80_81,,7,14,50,67,
80_82,,11,16,60,59,67
80_83,2,15,20,48,60,76
80_86,3,19,25,56,66,78
80_87,,12,18,54,60,76
80_88,15,28,37,,,
80_89,,6,11,37,47,59
80_90,10,16,21,49,57,66
80_91,,12,18,54,60,67
80_92,,11,16,60,59,76
80_93,,7,12,42,51,64
80_95,,6,11,39,49,61
80_94,,,,,,
80_108,7,14,19,50,58,77
80_496,17,21,,,,
