Frame,ID,Volume_nowarp,MeanIntensity_nowarp,Volume_warp,MeanIntensity_warp
1,1,133453,128.87612118124,133453,127.113650498677
1,2,127923,121.956458181875,127923,121.777741297499
1,3,141255,125.0846978868,141255,138.947046122261
1,4,137799,135.01860681137,137799,171.534800687959
1,5,103093,126.730175666631,103093,122.406244846886
1,6,122029,126.921338370387,122029,125.266289160773
1,7,125509,131.193476165056,125509,151.610083739015
1,8,91498,126.517541367024,91498,123.448436031389
1,9,115345,121.923507737657,115345,134.018735099051
1,10,143060,126.519166783168,143060,124.890521459527
1,11,128546,130.588201888818,128546,128.890389432577
1,12,150700,124.997120106171,150700,126.569057730591
1,13,124691,123.5942209141,124691,123.788581373154
1,14,135710,120.981313094098,135710,129.502785351116
1,15,118624,141.557264971675,118624,202.71256238198
1,16,121830,121.658015267176,121830,136.337092670114
1,17,139550,120.354482264421,139550,123.839304908635
1,18,152219,122.506973505279,152219,124.509397644184
1,19,105340,122.677624833871,105340,125.389225365483
1,20,107060,118.256594433028,107060,119.695479170559
1,21,118991,124.990074879613,118991,121.667882444891
1,22,135982,118.533085261285,135982,151.873269991617
1,23,156048,118.767334409925,156048,130.522704552445
1,24,113818,126.353186666432,113818,125.556484914513
1,25,118705,118.189393875574,118705,125.928099069121
1,26,159003,135.816368244624,159003,125.747558222172
1,27,113551,129.700020255216,113551,126.016732569506
1,28,128093,130.665391551451,128093,149.157541786046
1,29,183933,125.691811692301,183933,131.466822158068
1,30,150749,118.070136451983,150749,119.749013260453
1,31,150107,123.99239209364,150107,149.685457706836
1,32,72628,117.502037781572,72628,136.713884452277
2,1,158073,122.160508119666,158073,123.966142225427
2,2,128519,127.923038616858,128519,125.909756534053
2,3,118374,127.784378326322,118374,128.149145927315
2,4,131454,121.944353157759,131454,122.316277937529
2,5,157186,122.338726095199,157186,131.816923899075
2,6,151350,127.089593657086,151350,125.314258341592
2,7,142190,142.124636050355,142190,217.571095013714
2,8,116446,124.612764714975,116446,151.857041031895
2,9,108721,118.22079451072,108721,120.027952281528
2,10,93846,126.881486690962,93846,123.274257826652
2,11,112388,122.520687261985,112388,123.457620030608
2,12,112775,130.704961205941,112775,125.666787851918
2,13,138613,124.554370802161,138613,126.194433422551
2,14,135037,120.706539689122,135037,123.581692425039
2,15,110586,126.15173710958,110586,122.022389814262
2,16,151551,133.874590071989,151551,125.493550026064
2,17,140174,131.999550558591,140174,157.96594946281
2,18,124646,129.265977247565,124646,128.146887986779
2,19,131888,132.946158862065,131888,155.197538820818
2,20,124700,133.620882117081,124700,168.649743384122
2,21,142865,119.545417002065,142865,135.468239246841
2,22,161121,127.362981858355,161121,157.231360282024
2,23,105948,125.510977083097,105948,124.504549401593
2,24,156031,118.051066775192,156031,119.845799873102
2,25,183731,126.943694858244,183731,134.122483413251
2,26,104130,123.717891097666,104130,127.376308460578
2,27,116696,124.628984712415,116696,121.660288270378
2,28,125403,149.437342009362,125403,239.153999505594
2,29,131977,118.849057032665,131977,166.692378217417
2,30,118431,122.629277807331,118431,135.504470957773
2,31,117739,118.233236225889,117739,127.546055257816
2,32,80304,117.819336521219,80304,149.539537258418
3,1,121896,129.406690949662,121896,126.24895812824
3,2,98829,125.840097542219,98829,121.494976170962
3,3,136454,122.132176411098,136454,123.02224925616
3,4,128891,126.59205840594,128891,129.383502339186
3,5,123414,120.333276613674,123414,122.930364464323
3,6,140865,128.254264721542,140865,126.863862563447
3,7,128787,129.660812038482,128787,128.510688190578
3,8,134574,159.778805712842,134574,278.479520561178
3,9,113736,122.00200464233,113736,123.707128789477
3,10,143040,126.625020973154,143040,127.509060402685
3,11,136191,140.184020970549,136191,181.590149128797
3,12,136796,122.775366238779,136796,134.055060089476
3,13,88559,127.356462923023,88559,123.399699635271
3,14,108681,125.354394972442,108681,130.432145453207
3,15,162113,122.988421656499,162113,124.376132697563
3,16,108134,118.334751327057,108134,120.457959568683
3,17,115687,131.038863485093,115687,127.082567617796
3,18,129652,140.107024959121,129652,187.418211828587
3,19,112003,129.12411274698,112003,172.43045275573
3,20,135442,125.303325408662,135442,143.984495208281
3,21,151725,129.537940352612,151725,126.440856813314
3,22,134860,137.077910425627,134860,166.772749518019
3,23,109900,125.333084622384,109900,124.361992720655
3,24,186606,127.448270687974,186606,135.476865695637
3,25,167298,133.025248359215,167298,170.092971822735
3,26,146811,118.123369502285,146811,119.878544523231
3,27,143990,119.839474963539,143990,138.36044169734
3,28,122291,157.650464874766,122291,284.398312222486
3,29,107416,125.156764355403,107416,121.703964027705
3,30,143305,119.876242978263,143305,176.724489724713
3,31,123175,118.3032027603,123175,128.724773695961
3,32,82724,118.050892123205,82724,164.102122721338
4,1,99722,126.976685184814,99722,121.348368464331
4,2,120467,129.631699967626,120467,126.416836145998
4,3,119601,135.527386894758,119601,187.0415799199
