Frame,ID,Volume_nowarp,MeanIntensity_nowarp,Centroid_1,Centroid_2,Centroid_3
1,1,133453,231.783706623306,661.348909353855,405.925104718515,550.789971001027
1,2,127923,262.138692807392,411.736059973578,406.329033871939,481.900033613971
1,3,141255,198.769261265088,365.926827368943,426.39544086935,611.79990796786
1,4,137799,260.838061234116,514.61154289944,508.596789526775,407.310662631804
1,5,103093,195.884880641751,437.432056492681,483.352516659715,444.310253848467
1,6,122029,266.983635037573,482.675642675102,380.536200411378,526.532938891575
1,7,125509,263.237504880128,641.386912492331,511.27676102909,456.802277127537
1,8,91498,290.958775055192,509.272366609106,373.98955168419,452.636494786771
1,9,115345,233.549984828124,729.103584897481,489.262707529585,606.364185703758
1,10,143060,230.835020271215,619.251048511114,354.570893331469,571.008185376765
1,11,128546,267.407278328381,576.569640439998,410.361668196599,499.005577769826
1,12,150700,287.851745189117,525.743662906437,444.781811546118,424.502694094227
1,13,124691,216.517342871579,464.877617470387,319.218203398802,533.937653880392
1,14,135710,185.01852479552,471.946901481099,301.969707464446,625.867909512932
1,15,118624,227.609834434853,378.073147086593,477.145442743458,479.426979363367
1,16,121830,200.910120659936,385.913756874333,349.451727817451,543.40014774686
1,17,139550,201.229229666786,596.458882121104,333.260480114654,491.076617699749
1,18,152219,196.772380583239,538.579007876809,321.207280300094,607.261432541273
1,19,105340,254.321739130435,703.03705145244,411.321463831403,507.717116005316
1,20,107060,164.79603960396,694.394984121054,392.800495049505,656.640584718849
1,21,118991,197.214957433756,430.498945298384,373.216436537217,576.458631325058
1,22,135982,213.679244311747,600.720955714727,663.261571384448,606.499948522599
1,23,156048,239.037917820158,517.587774274582,300.650953552753,490.849559110017
1,24,113818,204.027368254582,544.379474248361,345.029512027974,541.958205204801
1,25,118705,200.145924771492,629.476500568637,300.685699844151,565.847276862811
1,26,159003,286.751407206153,626.701835814419,442.799903146482,462.405464047848
1,27,113551,236.576894963497,507.24561650712,433.49131227378,490.597660962915
1,28,128093,202.85573762813,425.218302327215,586.330502057099,465.395759331111
1,29,183933,220.384531323906,527.71670662687,529.641244366155,785.448222994242
1,30,150749,153.296884224771,515.596262661776,335.106149957877,702.122176598186
1,31,150107,221.227517704038,611.664426042756,384.354014136583,430.651735095632
1,32,72628,239.797763947789,412.830189458611,634.747204934736,658.93713168475
2,1,158073,194.833039165449,537.282369538125,318.292428181916,602.409956159496
2,2,128519,267.34951252344,477.79908029163,373.97055688264,519.850675775566
2,3,118374,247.367394867116,656.824074543396,397.956493824657,542.390499602953
2,4,131454,259.900535548557,402.734743712629,407.721910326046,487.744823284191
2,5,157186,182.315753311364,467.350909114043,307.188051098698,629.940433626404
2,6,151350,225.075645853981,620.833802444665,349.820898579452,568.718401057152
2,7,142190,262.603108516773,508.101322174555,512.395435684647,411.828490048527
2,8,116446,204.059040241829,378.240446215413,352.868797554231,550.502662178177
2,9,108721,169.755079515457,690.806458733823,384.840058498358,653.585636629538
2,10,93846,285.685069155851,505.54914434286,372.7354282548,447.118726424142
2,11,112388,224.431976723494,460.234731465993,314.357573762323,534.540226714596
2,12,112775,234.443777432942,499.276497450676,431.732307692308,487.348366215917
2,13,138613,301.053025329515,520.282441040884,444.380361149387,421.078816561217
