Frame,ID,Volume_nowarp,MeanIntensity_nowarp,GMMIntensity_nowarp,Bimodality_nowarp,Volume_rigid,MeanIntensity_rigid,GMMIntensity_rigid,Bimodality_rigid
40,1,177661,118.052470716702,118.052470716702,0.104258183213958,177661,119.122474825651,119.122474825651,0.0998420354699334
40,2,155459,118.489994146367,118.489994146367,0.113565429197104,155459,119.834515853054,119.834515853054,0.0958743780816973
40,3,162537,120.194404966254,120.194404966254,0.137011377891043,162537,120.022499492423,120.022499492423,0.109123425468695
40,4,122270,118.317665821542,118.317665821542,0.0973311969779938,122270,120.072503475914,120.072503475914,0.150767465906011
40,5,140933,118.319733490382,118.319733490382,0.118208837442332,140933,118.772849510051,118.772849510051,0.109428814307977
40,6,167388,118.760371113819,118.760371113819,0.173838670629781,167388,119.212996152651,119.212996152651,0.0922386671237802
40,7,152165,118.396135773667,118.396135773667,0.103307713894133,152165,119.026720993658,119.026720993658,0.0695196476394789
40,8,150060,119.906870585099,119.906870585099,0.133110457965535,150060,119.922930827669,119.922930827669,0.102421545933492
40,9,143031,119.183652494914,119.183652494914,0.129177434086552,143031,119.598338821654,119.598338821654,0.100061052468494
40,10,160329,119.421377292941,119.421377292941,0.118497463556184,160329,119.685627678087,119.685627678087,0.0841856040704864
40,11,159128,119.903662460409,119.903662460409,0.15555234178691,159128,120.385620381077,120.385620381077,0.08948444437723
40,12,128962,118.898567019742,118.898567019742,0.113207546795061,128962,120.066686310696,120.066686310696,0.0850283341694713
40,13,122395,118.677993382083,118.677993382083,0.0892609614346627,122395,120.038955839699,120.038955839699,0.0701212854819863
40,14,136623,118.540919171735,118.540919171735,0.125487608107397,136623,118.891497039298,118.891497039298,0.0841802979356801
40,15,153615,120.097887576083,120.097887576083,0.14583597745449,153615,120.606646486346,120.606646486346,0.13455334979656
40,16,126508,119.675617352262,119.675617352262,0.0982018855183785,126508,119.407586871976,119.407586871976,0.086532811465099
44,1,165963,118.410531262992,118.410531262992,0.105051755140221,165963,119.333755114092,119.333755114092,0.137277572250103
44,2,190543,118.086442430318,118.086442430318,0.0932592476491797,190543,118.921167400534,118.921167400534,0.102395190712578
44,3,146268,118.281196160473,118.281196160473,0.0837400595896986,146268,119.045703776629,119.045703776629,0.0686008132435198
44,4,179408,120.391470837421,120.391470837421,0.188289984211437,179408,120.362196780523,120.362196780523,0.134961599854367
44,5,154746,119.41015599757,119.41015599757,0.0895644377315466,154746,119.731676424593,119.731676424593,0.0981047336819937
44,6,159100,119.058265241986,119.058265241986,0.11534974818491,159100,119.787743557511,119.787743557511,0.118745557451757
44,7,184798,118.930773060315,118.930773060315,0.0996879976987279,184798,119.311713330231,119.311713330231,0.0982644984234553
44,8,143124,118.821686090383,118.821686090383,0.0737810694416318,143124,119.910294569744,119.910294569744,0.0962951523524717
44,9,171257,119.86232971499,119.86232971499,0.277045744004184,171257,121.035227757114,121.035227757114,0.117644903463524
44,10,126364,118.796366053623,118.796366053623,0.0922067573788808,126364,119.80100345035,119.80100345035,0.11375702190829
44,11,153973,119.892156417034,119.892156417034,0.179109841128165,153973,119.67953472362,119.67953472362,0.0632383249938436
44,12,110566,118.221044444042,118.221044444042,0.127863620974069,110566,119.517980210915,119.517980210915,0.0831727278603273
44,13,142366,118.742508745066,118.742508745066,0.154005810039918,142366,118.796419088827,118.796419088827,0.110634935670435
44,14,123767,119.708242100075,119.708242100075,0.0964431880654037,123767,119.665961039696,119.665961039696,0.0599874633119162
44,15,143343,118.640087063896,118.640087063896,0.115087757382017,143343,119.063993358587,119.063993358587,0.0801823011293632
44,16,196203,119.774840343929,119.774840343929,0.134528042530813,196203,120.361900684495,120.361900684495,0.164730485191791
48,1,205158,120.731514247556,120.731514247556,0.177297531734688,205158,120.154076370407,120.154076370407,0.0980627180425424
48,2,178875,118.529783368274,118.529783368274,0.115879646612479,178875,119.528760307477,119.528760307477,0.113583530720131
48,3,214402,118.069733491292,118.069733491292,0.108246716232505,214402,118.998801317152,118.998801317152,0.0845293319718338
48,4,163499,119.38462008942,119.38462008942,0.128055266282352,163499,119.433085217647,119.433085217647,0.0921547710792558
48,5,194936,119.164212869865,119.164212869865,0.129243679587597,194936,119.992592440596,119.992592440596,0.0990291670958138
48,6,185973,120.264990079205,120.264990079205,0.0861818933303268,185973,119.870733923742,119.870733923742,0.0946948763974489
48,7,205810,120.007419464555,120.007419464555,0.146915602722682,205810,120.040226422428,120.040226422428,0.0931762613628102
48,8,139746,118.80891760766,118.80891760766,0.12996140949782,139746,119.760043221273,119.760043221273,0.104754267415721
48,9,144376,118.430064553665,118.430064553665,0.160654015169413,144376,118.940890452707,118.940890452707,0.0888223057951146
48,10,160717,118.776059782101,118.776059782101,0.206229994342348,160717,118.64342291108,118.64342291108,0.115693384578999
48,11,162763,118.835927084165,118.835927084165,0.0754910888230481,162763,119.928663148259,119.928663148259,0.0873576105189506
48,12,115976,118.372275298338,118.372275298338,0.111029742375215,115976,119.828921501,119.828921501,0.0832283825562737
48,13,142002,118.280312953339,118.280312953339,0.0737847943419709,142002,118.996521175758,118.996521175758,0.105473353723873
48,14,170151,119.217224700413,119.217224700413,0.150956634693631,170151,119.629858184789,119.629858184789,0.0806960303008538
48,15,132004,120.36456471016,120.36456471016,0.11763971737091,132004,123.023931092997,123.023931092997,0.0898449165398214
48,16,162407,120.04419144495,120.04419144495,0.0915239512382487,162407,121.022708380796,121.022708380796,0.155383981049751
